feature,class
"[-1.7381046e+02  1.3717355e+02 -2.3723032e+01  2.6979677e+01
 -1.6675211e+01  4.1947303e+00 -1.2571788e+01  5.8516688e+00
 -2.8769505e+00 -1.1783808e+00 -1.9682404e+00  1.8011796e+00
 -3.0069504e+00 -1.8669492e+00 -7.9124355e-01 -3.0062358e+00
 -4.3072948e-01 -1.9965144e+00 -7.5010401e-01 -5.0069656e+00
 -1.8180922e+00  8.1014603e-01  2.5052481e+00 -1.6428747e+00
 -3.3367789e+00 -1.4087574e-01  4.4892826e+00  8.8565264e+00
  9.3213949e+00  1.2949806e+00 -1.8138595e+00 -6.4791427e+00
 -3.8715281e+00  1.7992789e+00 -3.1962483e+00 -5.8534436e+00
 -6.7214494e+00 -1.4336830e+00  3.2794235e+00  1.2398112e+00]",blues
"[-287.9319     124.010765     5.4674478   33.66307      1.091654
   14.703699    -4.8811417    8.668892     0.7843316    6.57608
   -4.875815    -3.176761    -5.538258    -6.779148    -2.6465132
   -2.9903207   -3.3829944   -1.8589838    1.8391857   -4.891355
   -5.5366764   -3.611239    -2.0613205   -6.509808    -6.871236
   -2.781895     1.6405015   -1.8866965   -4.676811    -3.332531
   -2.253273    -1.9183098   -1.866932    -1.3511275   -2.9252892
   -2.6896744   -1.29857     -1.4034742   -1.2837461    0.8156746]",blues
"[-2.07238297e+02  1.32827408e+02 -1.54540796e+01  6.09809723e+01
  7.19026327e-01  1.24613285e+01  1.16338503e+00 -1.53291988e+00
 -1.78958473e+01  8.36036301e+00 -2.45965075e+00 -5.84639072e-01
  3.72264475e-01  2.59841275e+00 -5.18642807e+00 -9.53030968e+00
 -9.23747349e+00 -2.84710383e+00 -1.41938353e+00 -5.93335342e+00
  7.76724291e+00  4.08764744e+00  4.05792999e+00  3.64905334e+00
  6.00376940e+00  4.23710972e-01  2.04957056e+00  1.43386185e+00
  6.50281715e+00  9.65015793e+00  6.68024778e+00  1.85716316e-01
 -2.35847521e+00 -1.06974411e+00 -2.61527061e-01  4.12619972e+00
  7.88791001e-01  5.35641253e-01  9.41198349e-01  3.30030251e+00]",blues
"[-2.0980392e+02  1.2446476e+02  1.0309394e+01  4.7016357e+01
  6.4782271e+00  1.5415120e+01 -2.0159416e+00  6.7262187e+00
 -2.1543222e+01  1.0720836e+01 -5.5328465e+00 -2.1957276e+00
 -3.0491858e+00  8.6435127e+00 -3.0701298e-01 -6.3291764e-01
 -2.9335587e+00 -1.7062988e+00 -1.7673149e+00 -7.7551389e+00
  3.4195647e+00  3.5794141e+00  2.8131702e+00 -6.3404310e-01
  3.5638633e+00 -5.5242691e+00  7.5086695e-01  5.1599703e+00
  8.5307455e+00  5.9562635e+00  7.4435401e+00  1.6496030e+00
 -5.4385263e-01  2.1704035e+00  3.7535543e+00  2.5672157e+00
  3.8704824e-01 -9.6657269e-02 -1.5357484e+00  1.3135753e+00]",blues
"[-3.0566437e+02  1.1307102e+02  1.2107334e+01  4.5052197e+01
  1.7734385e+01  1.4590071e+01  4.1479959e+00  2.2631137e-01
 -7.0215869e+00  1.3646477e+01  8.9142103e+00  1.3037988e+00
  5.9549794e+00  8.5474730e+00  1.1196221e+00  5.9824121e-01
  6.0842656e-02 -3.7137508e+00 -9.9353427e-01 -1.8043832e+00
  4.9606986e+00  4.3350310e+00  3.4170098e+00  1.2741938e+00
  2.8754206e+00  2.2284570e+00  3.4693353e+00  6.0261836e+00
  7.7702293e+00  9.8028717e+00  8.9533901e+00  3.7933440e+00
 -1.9360089e+00 -6.8857187e-01  1.9562244e+00  2.8515959e+00
 -5.2378643e-02 -7.9402393e-01 -2.3322639e+00  1.6225644e+00]",blues
"[-2.3851962e+02  1.2010219e+02 -4.2219477e+00  4.2294594e+01
  5.9238219e+00  1.3911398e+01  5.3505239e+00  1.8952671e+00
 -1.6928087e+01  1.2343145e+01  3.9388995e+00 -1.3966829e+00
  1.3027737e-02  3.5852571e+00 -4.5006390e+00 -5.5398455e+00
 -6.8845086e+00 -4.8245540e+00  1.7439977e+00 -1.8783106e+00
  6.8886385e+00  5.3057194e+00  5.5379062e+00  5.4402757e-01
  1.8469821e+00 -8.2140848e-02  4.2355161e+00  4.3461466e+00
  5.9726267e+00  6.7789073e+00  4.5179482e+00  1.3841991e+00
 -5.2774686e-02 -6.1485678e-01 -2.3416564e+00  1.8995880e+00
 -5.7299495e-01 -1.7211280e+00 -1.4194746e+00  2.1596076e+00]",blues
"[-2.3377281e+02  1.2066434e+02 -3.1640923e+00  3.9514828e+01
  3.8315241e+00  1.8828156e+01 -3.6787386e+00  4.4254684e+00
 -1.4964929e+01  1.7571478e+01  1.8461249e+00  2.5500886e+00
 -1.2302390e+00  8.4370556e+00 -2.0024775e-01 -3.8908293e+00
 -4.4561353e+00  1.1000631e-02  1.2948039e+00 -2.0984619e+00
  6.7892632e+00  5.8530527e-01  1.6381477e+00 -7.3148870e-01
  3.0726051e+00 -1.9939363e+00  3.6389744e+00  3.6133370e+00
  3.6253002e+00  6.7103803e-01  5.3867164e+00  8.2831154e+00
  8.5660677e+00  5.5489516e+00  6.4700854e-01 -2.0124929e+00
 -7.8844279e-01  3.9996028e+00  4.9969476e-01 -8.9294577e-01]",blues
"[-2.4568724e+02  1.4048125e+02 -2.7912185e+00  6.0404514e+01
  1.8903513e+01  9.8283939e+00  3.5638239e+00  5.2286255e-01
 -1.6378489e+01  6.6293535e+00  7.2584243e+00 -4.0212350e+00
  1.6011248e+00  5.8965745e+00 -3.0172145e+00 -4.7756929e+00
 -3.0362885e+00 -1.9979147e+00 -4.9571771e-02 -3.9618294e+00
 -3.9036056e-01  1.9787873e+00  4.6754536e-01 -1.8194243e+00
  2.7958221e+00  6.3500851e-01  1.4149067e+00  4.8250365e+00
  3.6250069e+00  2.6749990e+00  4.7974286e+00  6.6525221e+00
  7.7428885e+00  6.7837853e+00  3.3915856e-01 -1.7995281e+00
  1.3129233e-01  2.4119120e+00  2.5563343e+00  1.0668197e-01]",blues
"[-2.5248178e+02  1.0494516e+02  1.5296445e+01  4.2687840e+01
  6.7704520e+00  2.1611765e+01 -1.3111783e+00  5.6817451e+00
 -1.6636873e+01  1.2169350e+01 -1.9619533e+00  1.9602653e+00
 -8.9822775e-01  7.7623606e+00  2.3758616e+00  1.7791142e+00
  1.3305405e+00  3.6150515e+00  4.9065995e+00 -2.6610513e+00
  4.1080484e+00  2.2107766e+00  2.5487442e+00 -1.6179949e+00
  2.8880687e+00 -3.0624764e+00  2.4144308e-01  5.5991977e-01
  4.8141718e+00  3.6628959e+00  3.5393846e+00  7.3919916e-01
  1.6082972e+00  3.3467624e+00  2.3809478e+00  3.2134371e+00
  5.8956940e-02 -1.4272226e+00 -5.6407720e-01  2.4639738e+00]",blues
"[-2.3667947e+02  1.3840559e+02 -4.9304795e+00  4.7654499e+01
  5.1578503e+00  8.8878059e+00  4.8740575e-01 -3.7883420e+00
 -1.4984866e+01  1.0428946e+01 -3.4138408e-01  7.8335887e-01
  1.7809838e+00  4.2295594e+00 -4.7476926e-01 -6.1045432e+00
 -5.3946428e+00 -1.3449990e+00 -3.7254629e+00 -4.3737102e+00
  4.5424595e+00  7.4319765e-02  5.4422932e+00  3.7088485e+00
  1.9625505e+00  3.3865109e-01  4.9636898e+00  2.3795104e+00
  4.3545890e-01  1.8166513e+00  5.9143071e+00  1.0841658e+01
  8.7016439e+00  5.5548515e+00  2.3681440e+00 -4.2195624e-01
 -2.1511402e+00  1.4968753e+00 -9.5672679e-01 -1.8855915e+00]",blues
"[-2.3036378e+02  1.2707773e+02  7.1146965e+00  3.9767056e+01
  1.9217218e+00  1.7410606e+01 -5.6269178e+00  8.2406645e+00
 -1.8116041e+01  1.3844725e+01 -3.7571108e+00  2.5798490e+00
 -4.3167143e+00  6.7979951e+00 -6.1670146e+00 -6.2006335e+00
 -4.5018964e+00 -1.8255954e+00 -5.1591003e-01  1.5071843e+00
  8.9944696e+00  4.4141469e+00  6.2053766e+00 -1.6326698e+00
 -3.9314431e-01 -3.0037675e+00  1.5876290e+00  1.6816209e-01
  4.9929700e+00  5.6348008e-01  1.4701095e+00  3.0915089e+00
  6.6852374e+00  6.4862194e+00  4.5193596e+00 -7.8402930e-01
 -2.2652731e+00 -4.1921136e-01 -2.6120565e+00 -8.5024333e-01]",blues
"[-2.6467126e+02  1.3885434e+02  1.1167329e+01  4.8523926e+01
  1.4904312e+01  2.0586437e+01  3.2061763e+00  1.2635795e+00
 -1.5839373e+01  1.5975112e+01  3.3582180e+00 -1.5066410e+00
  1.8969209e+00  6.3134995e+00 -9.9598402e-01 -2.4147837e+00
 -3.6791573e+00  4.9927184e-01  5.0440602e+00 -7.8631681e-01
  5.0121827e+00 -1.4406960e-01 -1.5629919e+00 -1.0378023e+00
  3.0504642e+00 -1.9822404e+00  2.4294600e+00  2.3189194e+00
  9.8457858e-02  2.0578283e-01  1.6858253e+00  1.7363489e+00
  1.0081261e+00  6.2305063e-01  1.9171833e+00  2.6859031e+00
 -4.6082959e-01  3.3247647e+00  3.3931749e+00  1.1272765e+00]",blues
"[-2.33963120e+02  1.36144531e+02  3.30663610e+00  4.89306259e+01
  8.70518398e+00  1.39895105e+01  5.36271572e+00  4.10189211e-01
 -1.34835567e+01  1.68603687e+01  5.13475180e+00 -2.23072743e+00
  3.95382142e+00  5.31321239e+00  8.07943106e-01 -1.10038996e+00
 -4.53963137e+00 -2.42594934e+00  3.32443619e+00 -6.05845571e-01
  7.07065487e+00  3.05392504e+00  5.76666415e-01  6.00679159e-01
  2.78481269e+00 -1.44267297e+00  2.04866409e+00  5.60696220e+00
  2.93324852e+00  2.10399675e+00  2.52729344e+00 -4.56010312e-01
 -2.23243666e+00  1.15364045e-01 -4.64783907e-01 -1.51489094e-01
 -3.05902421e-01  5.04107141e+00  5.31235027e+00  1.64757240e+00]",blues
"[-2.2725580e+02  1.3776518e+02 -1.4502317e+01  6.3575359e+01
  5.6017485e+00  1.1988769e+01  1.8891491e+00 -1.8709356e+00
 -7.6180358e+00 -2.4516420e+00 -2.8980217e+00 -9.4338245e+00
 -1.0939208e+01  3.5636466e+00  4.1527381e+00  9.4712138e-02
 -2.9802275e+00 -1.3866447e+00  7.5348935e+00 -3.0437849e+00
 -5.8704119e+00 -3.2586577e+00  8.3579266e-01  3.7291644e+00
  3.7117362e+00  1.7648318e+00 -1.9198141e-01 -4.3020110e+00
  2.8750786e-01  1.4620000e+00  3.9184887e+00  7.1970739e+00
  4.6453428e+00 -2.1001522e-01 -7.1977777e+00 -7.1101923e+00
 -2.1515152e+00  7.2924656e-01 -2.2975581e+00 -3.8659828e+00]",blues
"[-2.7437683e+02  1.3040738e+02 -6.3574672e+00  7.0388222e+01
  1.3269664e+01  9.4721813e+00  7.7330894e+00 -1.2365493e+00
 -5.7098776e-01 -2.2971628e+00  3.7794154e+00  8.5482217e-02
 -9.3685710e-01  2.2968419e+00  4.2896338e+00 -1.6617897e+00
 -1.0439051e+01 -6.7934256e+00 -1.0635625e+00 -1.5890816e+00
 -1.1818291e+00 -1.2738187e+00  2.4839592e+00  3.0541933e+00
  1.3547114e+00  1.8956174e+00 -6.0382885e-01 -1.5892920e+00
  5.5002999e+00  8.9374075e+00  7.5262880e+00  5.8485994e+00
  2.1606169e+00 -3.3528409e+00 -7.3253417e+00 -4.6332240e+00
 -1.1211294e+00 -9.4526190e-01 -4.8595910e+00 -5.7443247e+00]",blues
"[-2.4931532e+02  1.3100032e+02  6.7787004e-01  6.6704155e+01
  1.7911272e+01  4.6232772e+00  6.6038089e+00  1.2421156e+00
  1.4099408e+00 -1.5849273e+00 -9.7253871e-01 -3.5726154e+00
 -2.9297993e+00  4.5961614e+00  7.4807310e+00 -1.9306439e-01
 -2.8259156e+00 -2.6829553e+00  7.4113846e-01 -5.2923667e-01
 -3.0146251e+00  9.6867728e-01  1.4384369e+00  1.6078529e+00
  2.9502313e+00  1.3439859e+00 -2.5526965e-01  1.2504002e-01
  4.1796665e+00  6.5274825e+00  2.5550411e+00 -1.4900767e+00
 -1.5836751e+00 -4.0808659e+00 -5.6692004e+00 -2.2922876e+00
 -6.8794829e-01 -1.5162854e+00 -4.7850847e+00 -1.8166950e+00]",blues
"[-2.8464056e+02  1.0880131e+02  9.0853186e+00  5.1198063e+01
  1.8071890e+01  7.6021547e+00  8.7557163e+00  2.3540907e+00
  3.3672713e-03  2.2484956e+00  4.1991253e+00 -3.2830639e+00
  1.6176828e+00  2.6794715e+00  3.3437948e+00  3.2793777e+00
 -4.5331836e+00  4.8806846e-01  5.9214964e+00  3.2215705e+00
  1.8752785e+00  1.3635288e+00  2.4384897e+00  6.6702431e-01
 -1.7899381e+00 -1.4184328e+00 -1.3413029e+00 -1.8754860e+00
 -2.5204394e+00 -2.2657835e+00 -1.2103510e+00  4.6558449e-01
  1.6849943e-01 -3.2945669e+00 -4.2297516e+00 -2.2400405e+00
  1.0810903e+00  1.7249902e-01 -4.9059396e+00 -2.5026369e+00]",blues
"[-2.2820984e+02  1.3032317e+02 -2.3311424e+01  7.0200951e+01
  1.1310548e+00  7.5844269e+00  9.0051073e-01  1.9828155e+00
 -6.1644154e+00 -9.3827477e+00 -2.5637801e+00 -4.5257525e+00
 -2.6046431e-01  1.7552163e-01 -1.5229120e+00  1.4664072e+00
 -6.9791350e+00 -8.3283939e+00  4.2368064e+00  9.8863924e-01
  2.6297538e+00  1.5644878e+00  1.1981881e-01 -2.6892385e+00
 -2.3507226e+00 -3.0127725e-01 -1.4663259e+00 -2.5843757e-01
 -1.4734519e-01 -3.9402440e+00 -3.1054406e+00 -4.2642937e+00
 -6.7208309e+00 -5.1720533e+00 -7.4894218e+00 -6.5608854e+00
 -5.5054173e+00 -4.5530868e+00 -3.5563025e+00  2.6742880e+00]",blues
"[-2.4898882e+02  1.3905774e+02 -1.6270870e+01  5.7137150e+01
  2.0188509e+01  1.0186957e+01  4.5429101e+00  3.3107188e-01
 -7.8745785e+00 -3.4545717e+00 -2.6574361e+00 -2.8329575e+00
 -9.0465844e-01 -2.4093254e+00  2.5699363e+00 -5.8520570e+00
 -1.2404832e+01 -7.3133807e+00 -9.3787175e-01 -2.6867251e+00
 -3.0036669e+00 -2.4216294e+00 -8.2220483e-01  1.1910577e+00
  7.3448414e-01 -5.7535183e-01 -3.1793349e+00 -2.4051154e+00
  2.0995448e+00  4.7656183e+00  7.2303782e+00  5.9440603e+00
  5.4377049e-01 -4.5021176e+00 -6.7320671e+00 -3.2993591e+00
 -2.1187921e-01 -7.8192663e-01 -4.7435570e+00 -4.4192820e+00]",blues
"[-233.72897     101.19028      17.647955     23.734173      2.0825462
   25.936394    -16.956385     15.084952    -22.273954      4.38161
  -23.201656     -6.050581     -5.067927      1.0592697    -5.7868643
   -8.313065    -11.38215      -6.724383    -10.016952    -14.028803
  -13.949056    -12.287151    -15.633726    -17.245676     -7.6343775
  -11.212245     -7.3376966   -12.709825     -6.6017103    -7.423319
   -6.497982     -3.3882904    -1.7051291    -6.9412313    -3.5822368
   -3.7442656    -6.607317     -0.35946742   -1.0142548    -4.3448577 ]",blues
"[-206.93233    117.80414     23.241365    28.308992    -1.1260132
   18.867393   -21.973022    17.844067   -25.595348     2.1395233
  -17.782476    -8.011028   -17.610441    -8.119411    -8.629656
  -15.530965   -15.322778    -9.662423   -10.0919695  -17.832165
   -6.5322485   -6.57585    -12.746852   -12.201311    -8.9896965
  -12.402233    -5.775627   -11.5358515   -6.611138    -7.0919957
  -11.969863   -12.416804   -10.964233   -10.986853    -8.7027025
   -3.1680043   -3.4803743   -4.728644    -0.5413456    1.4676635]",blues
"[-221.87302    110.8554      18.636082    30.92296      3.2964358
   22.585636   -20.40369     12.121833   -26.332514    -4.367301
  -26.395552   -13.047178   -12.667627    -1.8228296   -7.255051
   -6.6574764  -14.686026   -11.712328   -11.020866   -13.38948
  -15.688602   -15.295576   -13.746363   -16.167       -5.245365
  -11.316534    -9.463653   -14.043401    -6.326785    -2.2048538
    1.1523641    0.3406921   -4.7450657   -4.6580153   -2.2135575
   -5.0302696   -7.110278    -2.420319    -5.5893993   -9.189036 ]",blues
"[-288.7327      105.90115      18.776207     23.682646      5.6820407
   25.54894     -13.463247     12.437668    -11.963671      1.5746145
  -15.640525     -6.632071    -11.693039     -2.926763     -7.375716
  -15.693879    -10.976883    -10.892728    -18.505384    -19.104548
   -8.738504    -10.333421    -14.998673    -17.337934    -11.286087
   -6.723762     -3.687154     -5.6665473    -4.6029224    -8.290404
   -6.5921283    -9.4573345    -9.7368145   -10.604955     -8.316306
   -3.0675883     0.79840213   -1.6843294    -3.3653228    -3.9760308 ]",blues
"[-238.96988    108.68232     34.158813    30.20716     -0.4982213
   27.279755   -21.377928    14.166391   -24.509222    -1.8904003
  -28.051817   -11.25711    -16.457558    -7.6354303  -12.788069
  -15.356443   -13.739163    -7.4004865  -10.083454   -13.290667
   -8.915051   -11.1632185  -14.159268   -15.470993    -8.656144
   -8.817092    -1.4028388   -9.850776    -6.2584863   -8.975223
   -8.7732      -8.086417    -6.114739    -7.817044    -7.5446596
   -8.01763     -5.897451    -1.0585685    2.224824     3.7218995]",blues
"[-217.18364     105.78522      15.602848     25.24884      -1.4500508
   30.19327     -17.716623     17.319042    -27.213608      4.338282
  -20.0573      -10.700285    -14.228785     -5.155776     -3.4822617
   -6.1949677   -15.323166     -6.8316145    -9.825101    -13.942625
  -13.694591    -15.135343    -11.592969    -13.282487     -4.788962
   -6.9643188    -5.5628605   -13.95813     -11.704697     -6.4005704
   -6.0006156    -5.206413     -3.7519557    -6.6200914    -2.2940338
   -3.0249197    -6.7121067    -3.8012352    -0.49343503   -4.5835834 ]",blues
"[-1.7179478e+02  1.2028173e+02  1.5331755e+01  2.1094315e+01
 -5.3954434e+00  2.4185543e+01 -2.4130846e+01  1.8545135e+01
 -2.2342924e+01  1.3107386e+00 -2.0765268e+01 -4.9916921e+00
 -1.7108126e+01 -7.8740768e+00 -1.5293675e+01 -9.3495884e+00
 -8.9171467e+00 -8.5215054e+00 -1.4332618e+01 -1.9928354e+01
 -1.4489272e+01 -4.4329677e+00 -6.3406639e+00 -1.3974564e+01
 -1.5092772e+01 -1.8510973e+01 -9.7684908e+00 -7.2304516e+00
  2.0663021e-02  4.3913465e+00 -7.2954148e-01 -7.5961366e+00
 -6.3912649e+00 -6.6344085e+00 -7.5399523e+00 -7.3455882e+00
 -5.2601433e+00 -6.4820533e+00 -6.3342705e+00 -8.9958582e+00]",blues
"[-2.00185379e+02  1.16348595e+02  1.79907379e+01  2.52876949e+01
  2.87170827e-01  2.41937733e+01 -2.22539310e+01  1.11829338e+01
 -2.68543186e+01 -7.63725424e+00 -2.48767452e+01 -1.20108290e+01
 -1.70249424e+01 -8.12570286e+00 -1.19566202e+01 -1.26144743e+01
 -1.41872616e+01 -8.20807648e+00 -1.50152168e+01 -1.03101978e+01
 -1.04169245e+01 -1.28562479e+01 -1.18270597e+01 -1.75932560e+01
 -9.03372955e+00 -8.07290936e+00 -2.98752129e-01 -6.73452234e+00
 -3.24744558e+00 -4.51773357e+00 -3.51319981e+00 -7.07422352e+00
 -2.25561881e+00 -8.15127277e+00 -1.13308878e+01 -6.85859489e+00
 -6.48219204e+00 -1.54283568e-01  6.32856989e+00  2.99071813e+00]",blues
"[-3.2856018e+02  1.0270981e+02  1.9872597e+01  2.6714405e+01
  7.1520658e+00  2.2708387e+01 -6.9570885e+00  1.2789707e+01
 -1.0729283e+01 -4.4259900e-01 -1.2386710e+01 -8.9091311e+00
 -9.2150087e+00 -9.0876846e+00 -8.9959183e+00 -7.6505113e+00
 -7.2106438e+00 -9.3893738e+00 -4.4802666e+00 -3.6713595e+00
 -1.0500294e+00 -2.5922720e+00 -1.1533640e+01 -1.9036211e+01
 -1.3710567e+01 -4.6349545e+00 -2.0687434e-01 -7.1974258e+00
 -8.9044819e+00 -1.1242850e+01 -7.8009934e+00 -2.9663439e+00
 -6.1418600e+00 -1.1273276e+01 -1.1240984e+01 -8.9610300e+00
 -8.0926170e+00 -3.8286858e+00  7.5297985e+00  1.0963680e+01]",blues
"[-192.69032     111.157486     21.351843     26.396648     -0.64950144
   23.48705     -25.476696     16.92198     -16.971931      5.785404
  -25.736197     -5.0530734   -17.632252     -7.9180593   -15.15891
  -12.352483    -17.237364     -7.785286    -13.0390215   -17.936373
   -8.50349      -4.932542    -11.499352    -10.165698     -8.138459
  -17.354864     -5.1305103    -9.575148      1.0095494     5.3740363
    3.4093542    -2.8604193    -3.4028218    -6.1944675    -3.807877
   -4.6147337    -5.036284     -6.7675576    -6.642987    -10.254915  ]",blues
